               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 114,            0.016304,           0.0076526,          0.00052335,             0.93479,             0.87282,             0.89875,             0.60768,            0.030195,            0.010003,           0.0023259,          0.00072003,          0.00072003,          0.00072003
                 115,             0.01635,           0.0078593,          0.00053902,             0.91481,             0.88259,             0.89414,             0.60719,            0.030278,            0.010292,           0.0022135,          0.00071566,          0.00071566,          0.00071566
                 116,            0.016214,           0.0077034,          0.00060932,             0.91849,             0.87667,             0.89858,             0.62327,            0.029188,           0.0096526,           0.0019728,          0.00071127,          0.00071127,          0.00071127
                 117,            0.016904,           0.0077328,          0.00060341,             0.94067,             0.85024,             0.89385,             0.61103,             0.03008,            0.010068,           0.0021085,          0.00070686,          0.00070686,          0.00070686
                 118,            0.016096,           0.0079878,          0.00081429,             0.94117,             0.87901,             0.89738,             0.61234,            0.030101,            0.009974,           0.0018195,          0.00070243,          0.00070243,          0.00070243
                 119,            0.016504,           0.0078249,          0.00045719,             0.92305,             0.87898,             0.89407,             0.61627,            0.029755,            0.009824,           0.0018827,          0.00069799,          0.00069799,          0.00069799
                 120,            0.016109,           0.0078356,          0.00052127,             0.92782,             0.88519,             0.89625,             0.61851,            0.029711,           0.0098728,           0.0019626,          0.00069353,          0.00069353,          0.00069353
                 121,             0.01613,           0.0076475,          0.00075419,             0.93806,             0.88518,             0.89804,              0.6094,            0.030273,            0.010035,           0.0017631,          0.00068906,          0.00068906,          0.00068906
                 122,            0.016294,           0.0079149,          0.00058587,              0.9394,             0.87284,             0.90412,             0.61823,             0.02966,           0.0099578,            0.001885,          0.00068457,          0.00068457,          0.00068457
                 123,             0.01595,           0.0078388,          0.00050683,             0.93317,              0.8659,             0.88955,             0.61077,            0.029749,            0.010338,           0.0018704,          0.00068006,          0.00068006,          0.00068006
                 124,            0.015955,           0.0082655,          0.00048604,              0.9285,             0.86486,             0.89427,             0.61882,             0.02948,            0.010031,           0.0016914,          0.00067555,          0.00067555,          0.00067555
